name,subject0,subject1,subject2,subject3
Susan Duffy,8.5,6.1,1.0,8.8
Erin Price,0.1,4.9,1.8,5.2
Harvey Warren,2.5,7.0,4.1,9.7
Russell Sanchez,6.5,6.4,6.1,9.0
John Bohrman,0.8,9.7,2.3,5.3
Evelyn Phillips,0.5,10.0,3.0,6.3
Wanda Maldonado,10.0,8.1,1.6,6.7
Patricia Bishop,5.6,1.7,6.7,0.6
Wanda Wyland,4.9,3.6,4.1,4.5
Gayle Ridenour,10.0,1.9,7.0,8.3
Sybil Winchell,4.5,7.9,3.2,1.3
Andrew Langley,0.8,9.1,9.6,6.1
Irene Jones,1.0,7.5,1.2,1.8
Joe Laliberte,4.0,1.5,0.5,5.5
Sharon Johnston,8.9,8.0,6.9,3.4
Harry Brown,7.4,6.2,6.5,4.5
Keith Frick,5.6,3.9,6.5,5.1
Gloria Velasquez,6.7,0.8,6.9,2.5
Victor Arthur,8.3,6.1,0.8,2.2
Charles Smith,3.8,1.3,5.1,6.4
David Lassiter,8.5,4.9,8.5,10.0
Milton Mcintosh,1.3,10.0,4.8,7.7
Cesar France,7.2,6.1,7.9,8.5
Jeffery Sloat,4.7,5.2,6.6,8.1
Sara Poe,4.6,6.3,6.5,2.1
Sandra Terry,2.6,10.0,3.0,1.8
Claudette Miller,9.7,4.1,0.9,2.8
Ronald Lauderdale,2.4,3.1,7.6,3.2
Norman Nakamura,6.2,10.0,10.0,9.9
Carolyn Nickl,1.7,3.1,2.4,2.6
Kathleen Chang,4.3,2.4,3.3,10.0
Edward Hopkins,10.0,8.8,5.9,10.0
Fred Bourgeois,0.0,0.1,4.5,5.0
Adam Edwards,4.7,4.5,4.7,10.0
Dennis Vidrio,9.0,9.3,5.6,9.3
Randall Herr,8.4,6.0,4.5,10.0
David Free,6.5,7.0,2.5,1.2
Rita Armendariz,0.3,7.4,4.3,7.3
Timothy Pontes,10.0,7.6,8.5,6.8
Raymond Chastain,5.8,6.5,4.2,9.1
Jamie Courtwright,2.4,1.9,6.5,0.1
Jonathon Jackson,6.5,4.1,3.4,10.0
Herman Davis,9.0,1.6,2.7,2.5
Fred Battles,7.2,7.9,10.0,9.2
James Crandle,9.6,7.3,7.3,10.0
Buford Gosselin,9.8,4.5,3.0,7.5
Carla Beachler,3.8,5.8,4.1,4.2
Teresa Bishop,7.6,4.7,0.5,4.2
Mabel Peterson,6.7,4.8,3.0,10.0
Margaret Mott,5.6,8.0,4.2,8.2
Philip Crockett,8.4,4.0,5.0,5.8
Jean Carrasco,3.4,1.4,7.8,10.0
Josephine Brown,8.7,3.4,5.4,4.9
Barry Fischer,9.8,10.0,7.4,10.0
Martha Fowler,1.3,2.2,8.0,10.0
George Won,7.3,5.4,8.3,9.9
Roy Gibbons,0.8,7.4,6.6,6.1
Donald Smith,2.0,9.0,0.8,4.0
Tony Medlock,0.4,5.5,0.5,10.0
Francisco Saccucci,8.1,6.9,6.8,2.0
Adam Passarelli,10.0,10.0,2.1,2.2
Kathleen Edwards,5.1,7.1,9.8,9.8
Jacinda Simmons,3.3,6.3,10.0,5.3
Curtis Wood,6.5,6.0,9.1,9.9
Jonathan Cummings,6.1,5.1,10.0,1.3
Joyce Stanley,2.9,8.2,0.0,6.5
Linda Matlock,3.7,10.0,3.0,9.1
Noel Ortiz,10.0,2.1,4.2,10.0
Yun Morris,4.8,9.6,4.5,10.0
Julia Sears,5.3,10.0,6.7,4.3
Sarah Hallmark,4.0,4.0,9.1,10.0
Kevin Dorio,8.6,10.0,5.4,4.4
Marcus Hicks,7.5,9.6,5.6,5.6
Rebecca Hill,5.8,10.0,8.4,10.0
Earl Thompson,6.6,6.7,10.0,2.6
Lashawnda Hargrove,3.1,4.7,6.7,4.1
Paul Morrison,7.1,2.6,5.0,8.5
Anibal Padilla,1.7,10.0,7.2,5.1
Ramona Corvera,5.8,7.7,7.7,0.3
Roberta Beam,6.1,10.0,5.4,5.7
Herbert Ahmann,1.3,3.6,10.0,2.8
Lauren Jordan,4.5,5.1,6.1,9.2
Patricia Arndt,5.2,1.8,3.9,1.0
Michael Hegarty,10.0,8.1,6.2,8.0
Joel Flores,6.0,1.9,2.2,8.9
Angela Matthews,7.5,4.8,0.9,4.8
Ronald Sizemore,10.0,0.5,5.3,10.0
Casandra Parker,1.9,3.1,5.7,2.8
Edna Cline,10.0,1.1,7.2,5.9
Louise Lackey,7.5,2.0,1.1,1.4
Daniel Ellis,4.7,3.5,3.0,4.7
John Reid,1.9,0.1,7.7,6.6
Shawn Stevenson,3.6,8.3,6.2,9.9
Paul Romero,7.5,4.1,3.8,6.2
Ella Naish,10.0,10.0,6.6,6.8
Kerri Ripley,1.5,2.9,4.9,5.2
Rose Vanslyke,4.0,9.6,5.0,8.8
Jennifer Neal,5.8,4.5,3.8,5.6
Brenda Kempton,3.2,3.5,1.5,5.0
Shelton Bryant,7.9,3.1,7.1,4.4
Lena Sims,4.4,5.4,6.8,9.1
David Holler,2.8,5.2,2.1,5.1
Annette Wenning,0.4,3.9,6.4,2.2
Donna Bellows,4.2,7.5,3.5,2.0
Gordon Wikoff,1.2,2.8,2.1,0.2
Erin Noland,7.0,9.8,0.0,2.7
Jason Saur,4.9,5.9,4.1,0.3
Alma Penny,6.0,5.4,9.6,8.9
Frances Patridge,2.0,5.9,1.9,5.2
Eddie Rivers,3.7,9.2,9.6,9.4
Robert Nelson,3.5,5.4,3.7,7.7
Leon Walker,1.5,10.0,7.6,6.0
Richard Ingram,7.3,10.0,7.1,8.4
Jack Hernandez,2.5,7.5,4.5,8.8
Sean Schneider,10.0,9.2,4.7,9.9
Thomas Bromley,10.0,6.4,5.1,0.5
Erin Nero,10.0,5.5,4.7,1.9
Loretta Wilkins,9.5,8.3,10.0,6.2
Nancy Tallman,1.3,4.8,3.2,6.1
June Ferrel,4.3,3.7,8.5,10.0
David Homan,0.2,6.3,8.8,2.8
Kenny Baker,5.0,6.9,4.6,9.8
Nora Yon,1.9,3.3,0.5,7.3
Ryan Martin,7.9,9.2,9.2,7.9
Tiffany Smith,1.9,1.7,3.0,10.0
Rebecca Lawrence,3.2,2.4,5.0,0.9
Nora Lawson,1.1,0.6,7.4,6.4
Amanda Taylor,10.0,2.7,6.9,5.8
Christine Gray,0.8,4.6,2.7,5.7
Kendall Escobedo,5.5,4.9,1.6,8.8
Mary Schubert,5.3,10.0,2.8,9.8
Sabrina Curtis,1.7,1.8,4.6,7.6
Todd Smith,10.0,7.0,10.0,2.5
Ferne Ryan,6.8,5.9,10.0,2.3
Dennis Thibodeaux,9.6,3.3,4.7,7.6
Marilyn Callahan,1.3,9.1,4.8,4.5
John Davis,10.0,5.7,4.2,1.2
James Terry,0.4,5.2,10.0,3.8
Laurie York,1.7,4.9,2.7,1.3
David Peccia,4.5,5.6,10.0,2.8
Robert Bradley,7.4,4.8,2.7,9.2
Billy Davis,9.9,5.5,9.3,5.6
Michael Barraza,6.1,6.8,9.1,6.8
Russell Moran,8.7,6.9,3.8,0.0
Richard Medina,6.4,3.6,1.9,5.0
Fredrick Sawyer,2.0,6.2,4.5,4.8
Jesse Machado,0.0,7.4,3.1,8.0
Bonnie Zabawa,9.6,2.5,7.9,7.6
Ruth Okane,10.0,3.8,4.8,6.7
Genevieve Ewing,3.8,2.9,3.4,6.3
Jason Konon,8.0,7.8,9.5,8.4
Kyle Richardson,1.4,5.8,5.4,10.0
Eleanor Sanchez,3.1,2.3,10.0,6.7
